satisfaction_level,last_evaluation,number_project,average_montly_hours,time_spend_company,Work_accident,left,promotion_last_5years,Department,Salary
0.92,0.64,4.0,259.0,2.0,0.0,0,0,sales,low
0.89,0.68,4.0,146.0,3.0,0.0,0,0,sales,low
0.49,0.63,4.0,213.0,3.0,0.0,0,0,support,low
0.37,0.72,1.9999999999999998,163.0,3.0,0.0,0,0,sales,low
0.49,0.49,4.0,212.0,7.0,0.0,0,0,product_mng,medium
0.68,0.85,3.0,243.0,4.0,0.0,0,0,technical,medium
0.94,0.8,4.0,238.0,3.0,1.0,0,0,management,medium
0.79,0.83,5.0,268.0,3.0,0.0,0,0,technical,low
0.18,0.93,3.0,245.0,4.0,1.0,0,0,RandD,medium
0.39,0.5,1.9999999999999998,135.0,3.0,0.0,1,0,support,low
0.77,0.73,3.0,269.0,2.0,0.0,0,0,support,low
0.41,0.52,1.9999999999999998,127.0,3.0,1.0,1,0,support,low
0.7,0.96,3.0,263.0,3.0,0.0,0,0,accounting,medium
0.66,0.57,6.0,278.0,3.0,0.0,0,0,sales,low
0.89,0.59,3.0,265.0,8.0,0.0,0,0,RandD,medium
0.72,0.66,3.0,167.0,3.0,0.0,0,0,accounting,low
0.86,1.0,3.0,166.0,3.0,1.0,0,0,accounting,low
0.8,0.55,4.0,144.0,5.0,1.0,0,0,product_mng,low
0.39,0.56,1.9999999999999998,135.0,3.0,0.0,1,0,hr,low
0.36,0.56,1.9999999999999998,137.0,3.0,0.0,1,0,sales,low
0.51,0.96,5.0,268.0,4.0,0.0,0,0,sales,low
0.99,0.54,4.0,196.0,4.0,1.0,0,0,hr,medium
0.57,0.47,1.9999999999999998,158.0,2.0,0.0,0,0,product_mng,low
0.95,0.64,3.0,242.0,5.0,1.0,0,0,sales,medium
0.75,0.54,6.0,138.0,4.0,1.0,0,0,sales,low
0.81,0.92,5.0,255.0,4.0,1.0,0,0,technical,low
0.55,0.69,3.0,225.0,2.0,0.0,0,0,sales,low
0.17000000000000004,0.79,1.9999999999999998,126.0,5.0,0.0,0,0,marketing,medium
0.21999999999999997,0.44,3.0,166.0,6.0,0.0,0,0,hr,medium
0.9,0.92,5.0,154.0,4.0,0.0,1,0,sales,low
0.69,0.86,5.0,195.0,6.0,0.0,0,0,management,high
0.85,0.49,4.0,142.0,3.0,0.0,0,0,support,low
0.77,0.9,4.0,237.0,5.0,0.0,1,0,support,low
0.81,0.5,3.0,198.0,3.0,0.0,0,0,sales,low
0.4,0.41,4.0,127.0,3.0,0.0,0,0,product_mng,low
0.66,0.67,3.0,123.0,4.0,0.0,0,0,product_mng,medium
0.55,0.4,3.0,139.0,8.0,0.0,0,1,hr,medium
0.43,0.47,1.9999999999999998,147.0,3.0,0.0,1,0,support,low
0.86,0.73,5.0,259.0,2.0,0.0,0,0,technical,low
0.29,0.77,3.0,152.0,3.0,1.0,0,0,technical,low
0.85,0.9,1.9999999999999998,168.0,2.0,0.0,1,0,sales,low
0.42,0.48,1.9999999999999998,132.0,3.0,0.0,1,0,hr,low
0.88,0.51,3.0,211.0,7.0,0.0,0,0,sales,medium
0.65,0.62,4.0,258.0,2.0,0.0,0,0,support,low
0.82,0.49,4.0,276.0,4.0,0.0,0,0,support,medium
0.95,0.78,4.0,245.0,3.0,0.0,0,0,sales,low
0.39,0.57,1.9999999999999998,132.0,3.0,0.0,0,0,support,low
0.63,0.83,4.0,145.0,4.0,0.0,0,0,support,low
0.42,0.51,1.9999999999999998,136.0,3.0,0.0,1,0,technical,low
0.62,0.71,3.0,255.0,2.0,0.0,0,0,technical,low
0.84,0.37,5.0,186.0,2.0,0.0,0,0,technical,low
0.09999999999999998,0.79,6.0,271.0,4.0,0.0,1,0,technical,low
0.10999999999999999,0.87,6.0,255.0,4.0,0.0,1,0,sales,low
0.69,0.63,5.0,140.0,4.0,0.0,0,1,sales,medium
0.77,0.91,4.0,239.0,3.0,1.0,0,0,product_mng,low
0.58,0.57,3.0,144.0,4.0,1.0,0,0,sales,low
0.86,0.91,4.0,147.0,3.0,0.0,0,0,technical,low
0.77,0.72,4.0,223.0,3.0,0.0,0,0,sales,low
0.97,0.5,3.0,216.0,3.0,0.0,0,0,product_mng,low
0.68,0.51,4.0,157.0,3.0,0.0,0,0,sales,low
0.09999999999999998,0.94,6.0,260.0,4.0,0.0,1,0,sales,low
0.94,0.55,3.0,160.0,3.0,0.0,0,0,sales,low
0.37,0.5,1.9999999999999998,141.0,3.0,0.0,1,0,sales,low
0.5,0.66,4.0,155.0,2.0,0.0,0,0,hr,medium
0.85,0.77,3.0,146.0,4.0,0.0,0,0,accounting,medium
0.78,0.67,4.0,221.0,3.0,1.0,0,0,support,low
0.66,0.63,6.0,223.0,6.0,0.0,0,0,sales,medium
0.8,0.81,5.0,200.0,3.0,0.0,0,0,hr,medium
0.65,0.67,3.0,245.0,3.0,0.0,0,0,sales,low
0.77,0.64,3.0,190.0,10.0,1.0,0,0,product_mng,medium
0.39,0.47,1.9999999999999998,135.0,3.0,0.0,1,0,sales,low
0.83,0.67,3.0,175.0,3.0,0.0,0,0,product_mng,low
0.83,0.67,5.0,132.0,2.0,1.0,0,0,support,low
0.15000000000000002,0.55,6.0,139.0,4.0,0.0,1,0,support,low
0.85,0.64,5.0,256.0,7.0,0.0,0,0,product_mng,medium
0.6,0.73,5.0,203.0,2.0,0.0,0,0,product_mng,low
0.98,0.98,4.0,170.0,10.0,0.0,0,0,product_mng,medium
0.72,0.85,5.0,244.0,6.0,0.0,1,0,sales,low
0.81,0.98,6.0,196.0,2.0,0.0,0,0,support,low
0.87,0.9,5.0,258.0,5.0,0.0,1,0,support,low
0.59,0.43,3.0,171.0,3.0,0.0,0,0,hr,medium
0.95,0.75,4.0,203.0,3.0,0.0,0,0,hr,medium
0.51,0.8,4.0,231.0,3.0,0.0,0,0,sales,low
0.89,0.65,4.0,184.0,3.0,0.0,0,0,support,low
0.10999999999999999,0.85,7.0,302.0,4.0,0.0,1,0,sales,low
0.97,0.62,6.0,118.0,2.0,0.0,0,0,accounting,low
0.83,0.93,6.0,130.0,5.0,0.0,0,0,RandD,medium
0.62,0.89,3.0,201.0,3.0,0.0,0,0,technical,low
0.98,0.62,5.0,254.0,5.0,1.0,0,0,sales,low
0.65,0.54,4.0,147.0,10.0,0.0,0,0,sales,medium
0.77,0.87,5.0,257.0,2.0,0.0,0,0,product_mng,low
0.64,0.49,3.0,241.0,3.0,0.0,0,0,hr,medium
0.51,0.74,6.0,98.0,3.0,0.0,0,0,support,low
0.38,0.55,1.9999999999999998,134.0,3.0,0.0,1,0,support,low
0.6,0.63,3.0,182.0,3.0,0.0,0,0,accounting,medium
0.21999999999999997,0.6,3.0,205.0,6.0,1.0,0,0,sales,medium
0.45,0.5,1.9999999999999998,157.0,3.0,0.0,1,0,marketing,low
0.74,0.74,3.0,156.0,3.0,0.0,0,0,support,low
0.4,0.57,1.9999999999999998,160.0,3.0,0.0,1,0,accounting,low
0.09999999999999998,0.94,6.0,297.0,5.0,0.0,1,0,marketing,low
0.10999999999999999,0.87,5.0,271.0,4.0,0.0,1,0,sales,low
0.19,1.0,4.0,192.0,4.0,0.0,1,0,accounting,low
0.76,0.98,5.0,242.0,5.0,0.0,1,0,management,low
0.31,0.77,4.0,149.0,3.0,0.0,1,0,sales,low
0.7,0.53,1.9999999999999998,274.0,4.0,0.0,1,0,sales,low
0.48,0.86,5.0,198.0,4.0,0.0,0,0,technical,low
0.85,0.86,4.0,250.0,3.0,0.0,0,0,technical,low
0.93,0.9,4.0,256.0,4.0,0.0,0,0,technical,medium
