id,bedrooms,bathrooms,sqft_living,sqft_lot,floors,view,condition,grade,sqft_basement,yr_built,yr_renovated,lat,long,price,cluster_1.0,cluster_2.0,cluster_3.0,cluster_4.0,cluster_5.0,cluster_6.0,cluster_7.0,cluster_8.0,cluster_9.0,Predicted
7129300520.0,3,1.0,1180,5650,1.0,0,3,7,0,1955,0,47.5112,-122.257,221900.0,0,0,0,0,0,0,1,0,0,197949
6414100192.0,3,2.25,2570,7242,2.0,0,3,7,400,1951,1991,47.721,-122.319,538000.0,0,0,0,0,0,0,0,0,1,546100
5631500400.0,2,1.0,770,10000,1.0,0,3,6,0,1933,0,47.7379,-122.233,180000.0,0,0,0,0,0,0,1,0,0,173407
2487200875.0,4,3.0,1960,5000,1.0,0,5,7,910,1965,0,47.5208,-122.393,604000.0,0,1,0,0,0,0,0,0,0,594718
1954400510.0,3,2.0,1680,8080,1.0,0,3,8,0,1987,0,47.6168,-122.045,510000.0,0,0,0,0,0,0,0,0,1,538431
1321400060.0,3,2.25,1715,6819,2.0,0,3,7,0,1995,0,47.3097,-122.327,257500.0,0,0,0,0,0,0,0,0,0,251130
2008000270.0,3,1.5,1060,9711,1.0,0,3,7,0,1963,0,47.4095,-122.315,291850.0,0,0,0,0,0,0,0,0,0,238692
2414600126.0,3,1.0,1780,7470,1.0,0,3,7,730,1960,0,47.5123,-122.337,229500.0,0,0,0,0,0,0,1,0,0,214085
3793500160.0,3,2.5,1890,6560,2.0,0,3,7,0,2003,0,47.3684,-122.031,323000.0,1,0,0,0,0,0,0,0,0,330807
1736800520.0,3,2.5,3560,9796,1.0,0,3,8,1700,1965,0,47.6007,-122.145,662500.0,0,1,0,0,0,0,0,0,0,636881
9212900260.0,2,1.0,1160,6000,1.0,0,4,7,300,1942,0,47.69,-122.292,468000.0,0,0,0,1,0,0,0,0,0,476291
114101516.0,3,1.0,1430,19901,1.5,0,4,7,0,1927,0,47.7558,-122.229,310000.0,1,0,0,0,0,0,0,0,0,330973
6054650070.0,3,1.75,1370,9680,1.0,0,4,7,0,1977,0,47.6127,-122.045,400000.0,0,0,1,0,0,0,0,0,0,409248
1175000570.0,5,2.0,1810,4850,1.5,0,3,7,0,1900,0,47.67,-122.394,530000.0,0,0,0,0,0,0,0,0,1,548553
9297300055.0,4,3.0,2950,5000,2.0,3,3,9,970,1979,0,47.5714,-122.375,650000.0,0,1,0,0,0,0,0,0,0,643123
1875500060.0,3,2.0,1890,14040,2.0,0,3,7,0,1994,0,47.7277,-121.962,395000.0,0,0,1,0,0,0,0,0,0,389469
6865200140.0,4,1.0,1600,4300,1.5,0,4,7,0,1916,0,47.6648,-122.343,485000.0,0,0,0,1,0,0,0,0,0,484553
16000397.0,2,1.0,1200,9850,1.0,0,4,7,0,1921,0,47.3089,-122.21,189000.0,0,0,0,0,0,0,1,0,0,192734
7983200060.0,3,1.0,1250,9774,1.0,0,4,7,0,1969,0,47.3343,-122.306,230000.0,0,0,0,0,0,0,1,0,0,198037
6300500875.0,4,1.75,1620,4980,1.0,0,4,7,760,1947,0,47.7025,-122.341,385000.0,0,0,1,0,0,0,0,0,0,412627
7137970340.0,5,2.5,2270,6300,2.0,0,3,8,0,1995,0,47.3266,-122.169,285000.0,0,0,0,0,0,0,0,0,0,319236
8091400200.0,2,1.5,1070,9643,1.0,0,3,7,0,1985,0,47.3533,-122.166,252700.0,0,0,0,0,0,0,0,0,0,244065
3814700200.0,3,2.25,2450,6500,2.0,0,4,8,0,1985,0,47.3739,-122.172,329000.0,1,0,0,0,0,0,0,0,0,331559
1202000200.0,3,2.0,1710,4697,1.5,0,5,6,0,1941,0,47.3048,-122.218,233000.0,0,0,0,0,0,0,0,0,0,248021
1794500383.0,3,1.75,2450,2691,2.0,0,3,8,700,1915,0,47.6386,-122.36,937000.0,0,0,0,0,0,0,0,1,0,1008785
3303700376.0,3,1.0,1400,1581,1.5,0,5,8,0,1909,0,47.6221,-122.314,667000.0,0,1,0,0,0,0,0,0,0,644129
5101402488.0,3,1.75,1520,6380,1.0,0,3,7,730,1948,0,47.695,-122.304,438000.0,0,0,0,1,0,0,0,0,0,469804
1873100390.0,4,2.5,2570,7173,2.0,0,3,8,0,2005,0,47.7073,-122.11,719000.0,0,0,0,0,1,0,0,0,0,727580
8562750320.0,3,2.5,2320,3980,2.0,0,3,8,0,2003,0,47.5391,-122.07,580500.0,0,0,0,0,0,0,0,0,1,560305
2426039314.0,2,1.5,1190,1265,3.0,0,3,7,0,2005,0,47.7274,-122.357,280000.0,0,0,0,0,0,0,0,0,0,288644
461000390.0,4,1.75,2330,5000,1.5,0,4,7,820,1929,0,47.6823,-122.368,687500.0,0,1,0,0,0,0,0,0,0,638758
7589200193.0,3,1.0,1090,3000,1.5,0,4,8,0,1929,0,47.6889,-122.375,535000.0,0,0,0,0,0,0,0,0,1,552172
7955080270.0,4,2.75,2060,6659,1.0,0,3,7,780,1981,0,47.4276,-122.157,322500.0,1,0,0,0,0,0,0,0,0,328812
9547205180.0,3,2.5,2300,3060,1.5,0,3,8,790,1930,2002,47.6827,-122.31,696000.0,0,0,0,0,1,0,0,0,0,740702
9435300030.0,4,1.0,1660,34848,1.0,0,1,5,730,1933,0,47.6621,-122.132,550000.0,0,0,0,0,0,0,0,0,1,541974
2768000400.0,4,2.0,2360,6000,2.0,0,4,8,0,1904,0,47.6702,-122.362,640000.0,0,1,0,0,0,0,0,0,0,652563
7895500070.0,4,1.0,1220,8075,1.0,0,2,7,330,1969,0,47.3341,-122.282,240000.0,0,0,0,0,0,0,0,0,0,239559
2078500320.0,4,2.5,2620,7553,2.0,0,3,8,0,1996,0,47.5301,-122.18,605000.0,0,1,0,0,0,0,0,0,0,616726
5547700270.0,4,2.5,2570,5520,2.0,0,3,9,0,2000,0,47.6145,-122.027,625000.0,0,1,0,0,0,0,0,0,0,652836
7766200013.0,4,2.25,4220,24186,1.0,0,3,8,1620,1984,0,47.445,-122.347,775000.0,0,0,0,0,1,0,0,0,0,742705
7203220400.0,5,2.75,3595,5639,2.0,0,3,9,0,2014,0,47.6848,-122.016,861990.0,0,0,0,0,0,1,0,0,0,865438
9270200160.0,3,1.0,1570,2280,2.0,0,3,7,0,1922,0,47.6413,-122.364,685000.0,0,1,0,0,0,0,0,0,0,636499
1432701230.0,3,1.0,1280,9656,1.0,0,4,6,360,1959,0,47.4485,-122.175,309000.0,1,0,0,0,0,0,0,0,0,325470
8035350320.0,3,2.5,3160,13603,2.0,0,3,8,0,2003,0,47.7443,-121.977,488000.0,0,0,0,1,0,0,0,0,0,474539
8945200830.0,3,1.0,990,8528,1.0,0,3,6,0,1966,0,47.3066,-122.371,210490.0,0,0,0,0,0,0,1,0,0,187000
4178300310.0,4,2.5,2290,13416,2.0,0,4,9,0,1981,0,47.6194,-122.151,785000.0,0,0,0,0,1,0,0,0,0,746594
9215400105.0,3,1.75,1250,5963,1.0,0,4,7,0,1953,0,47.6796,-122.301,450000.0,0,0,0,1,0,0,0,0,0,472030
5245600105.0,3,1.0,1190,9199,1.0,0,3,7,0,1955,0,47.4258,-122.322,228000.0,0,0,0,0,0,0,1,0,0,189102
7231300125.0,5,2.5,3150,9134,1.0,0,4,8,1510,1966,0,47.4934,-122.189,345000.0,1,0,0,0,0,0,0,0,0,364898
7518505990.0,3,1.75,1410,4080,1.0,0,4,7,410,1950,0,47.6808,-122.384,600000.0,0,1,0,0,0,0,0,0,0,629459
3626039271.0,2,1.75,1980,8550,1.0,0,3,7,990,1981,0,47.6989,-122.369,585000.0,0,0,0,0,0,0,0,0,1,544731
4217401195.0,5,2.25,2730,6000,1.5,0,3,8,600,1927,0,47.6571,-122.281,920000.0,0,0,0,0,0,1,0,0,0,855065
9822700295.0,4,2.5,2830,5000,2.0,0,3,9,0,1995,0,47.6597,-122.29,885000.0,0,0,0,0,0,1,0,0,0,851848
9478500640.0,4,2.5,2250,4495,2.0,0,3,7,0,2008,0,47.3663,-122.114,292500.0,0,0,0,0,0,0,0,0,0,307921
2799800710.0,3,2.5,2420,4750,2.0,0,3,8,0,2003,0,47.3663,-122.122,301000.0,0,0,0,0,0,0,0,0,0,336654
7922800400.0,5,3.25,3250,14342,2.0,4,4,8,0,1968,0,47.588,-122.116,951000.0,0,0,0,0,0,0,0,1,0,998698
8079040320.0,4,3.0,1850,9976,2.0,0,3,8,0,1991,0,47.5059,-122.149,430000.0,0,0,1,0,0,0,0,0,0,403088
1516000055.0,3,2.25,2150,21235,1.0,3,4,8,560,1959,0,47.4336,-122.339,650000.0,0,1,0,0,0,0,0,0,0,645571
9558200045.0,3,1.75,1260,8400,1.0,0,3,7,0,1954,0,47.4366,-122.335,289000.0,0,0,0,0,0,0,0,0,0,256577
5072410070.0,3,1.75,2519,8690,2.0,0,5,8,0,1973,0,47.4428,-122.344,505000.0,0,0,0,1,0,0,0,0,0,440895
9528102996.0,3,1.75,1540,1044,3.0,0,3,8,0,2014,0,47.6765,-122.32,549000.0,0,0,0,0,0,0,0,0,1,549385
1189001180.0,3,2.25,1660,6000,1.0,0,3,7,550,1979,0,47.6113,-122.297,425000.0,0,0,1,0,0,0,0,0,0,418673
3253500160.0,3,2.75,2770,3809,1.5,0,5,7,1000,1925,0,47.5747,-122.304,317625.0,1,0,0,0,0,0,0,0,0,363951
3394100030.0,4,2.5,2720,11049,2.0,0,3,10,0,1989,0,47.5815,-122.192,975000.0,0,0,0,0,0,0,0,1,0,1007269
3717000160.0,4,2.5,2240,4648,2.0,0,3,7,0,2005,0,47.3378,-122.257,287000.0,0,0,0,0,0,0,0,0,0,277457
1274500060.0,3,1.0,1000,12070,1.0,0,4,7,0,1968,0,47.3621,-122.11,204000.0,0,0,0,0,0,0,1,0,0,199005
1525059190.0,5,3.25,4770,50094,1.0,0,4,11,1700,1973,0,47.6525,-122.16,1040000.0,0,0,0,0,0,0,0,1,0,1042918
1049000060.0,3,2.0,1260,5612,1.0,0,4,7,0,1972,0,47.7362,-122.179,325000.0,1,0,0,0,0,0,0,0,0,335836
8820901275.0,4,2.0,2750,7807,1.5,0,5,7,500,1916,0,47.7168,-122.287,571000.0,0,0,0,0,0,0,0,0,1,552194
5416510140.0,4,2.5,2380,5000,2.0,0,3,8,0,2005,0,47.3608,-122.036,360000.0,1,0,0,0,0,0,0,0,0,338878
3444100400.0,3,1.75,1790,50529,1.0,0,5,7,700,1965,0,47.3511,-122.073,349000.0,1,0,0,0,0,0,0,0,0,340944
3276920270.0,4,4.0,3430,35102,2.0,0,4,10,1040,1986,0,47.5822,-121.987,832500.0,0,0,0,0,0,1,0,0,0,850996
4036801170.0,4,1.75,1760,7300,1.0,0,3,7,880,1956,0,47.6034,-122.125,380000.0,0,0,1,0,0,0,0,0,0,404641
2391600320.0,3,1.0,1040,5060,1.0,0,3,7,0,1941,0,47.5636,-122.394,480000.0,0,0,0,1,0,0,0,0,0,456611
6300000287.0,3,1.0,1410,5060,1.0,0,4,7,500,1956,0,47.7073,-122.34,410000.0,0,0,1,0,0,0,0,0,0,392401
1531000030.0,4,2.5,3450,39683,2.0,0,3,10,0,2002,0,47.342,-122.025,720000.0,0,0,0,0,1,0,0,0,0,752862
5104520400.0,3,2.5,2350,5100,2.0,0,3,8,0,2003,0,47.3512,-122.008,390000.0,0,0,1,0,0,0,0,0,0,379387
7437100340.0,4,2.5,1900,5889,2.0,0,3,7,0,1992,0,47.349,-122.031,360000.0,1,0,0,0,0,0,0,0,0,327650
9418400240.0,2,1.0,2020,6720,1.0,0,3,7,1010,1948,0,47.5474,-122.291,355000.0,1,0,0,0,0,0,0,0,0,342484
1523059105.0,3,1.5,1680,8712,1.0,0,3,8,0,1964,0,47.4811,-122.149,356000.0,1,0,0,0,0,0,0,0,0,346090
1133000671.0,3,1.0,960,6634,1.0,0,3,6,0,1952,0,47.7264,-122.31,315000.0,1,0,0,0,0,0,0,0,0,321985
4232902595.0,3,1.5,2140,3600,2.0,0,3,9,240,1925,0,47.6337,-122.365,940000.0,0,0,0,0,0,0,0,1,0,996558
2599001200.0,5,2.25,2660,8400,1.5,0,5,7,0,1961,0,47.2909,-122.189,305000.0,1,0,0,0,0,0,0,0,0,313403
3342103156.0,3,3.25,2770,6278,2.0,0,3,9,790,2006,0,47.5228,-122.199,461000.0,0,0,0,1,0,0,0,0,0,509692
1332700270.0,2,2.25,1610,2040,2.0,0,4,7,0,1979,0,47.518,-122.194,215000.0,0,0,0,0,0,0,1,0,0,219438
3869900162.0,2,1.75,1030,1066,2.0,0,3,7,265,2006,0,47.5394,-122.387,335000.0,1,0,0,0,0,0,0,0,0,302932
2791500270.0,4,2.5,1980,7403,2.0,0,3,7,0,1988,0,47.2897,-122.372,243500.0,0,0,0,0,0,0,0,0,0,267075
5036300431.0,5,2.75,3520,6353,2.0,0,4,10,0,2001,0,47.6506,-122.391,1099880.0,0,0,0,0,0,0,0,1,0,1040827
4168000060.0,3,1.0,1200,10500,1.0,0,3,7,0,1962,0,47.322,-122.351,153000.0,0,0,0,0,0,0,1,0,0,191534
6021501535.0,3,1.5,1580,5000,1.0,0,3,8,290,1939,0,47.687,-122.386,430000.0,0,0,1,0,0,0,0,0,0,422217
1483300570.0,4,2.5,3300,10250,1.0,0,3,7,910,1946,1991,47.5873,-122.249,905000.0,0,0,0,0,0,1,0,0,0,864035
3422049190.0,3,1.75,1960,15681,1.0,0,3,7,0,1967,0,47.3576,-122.277,247500.0,0,0,0,0,0,0,0,0,0,258561
